,title,link,id,stars,score,date
568,Le Havre (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=iQUjGpVcupU,iQUjGpVcupU,,8.0,2011-07-08
569,Hanze (NL),https://www.youtube.com/watch?v=bKkSq2OgSww,bKkSq2OgSww,,8.0,2011-03-10
570,Long Shot: The Dice Game (NL),https://www.youtube.com/watch?v=jptBHOMY11E,jptBHOMY11E,,7.0,2023-11-03
571,Between Two Cities (NL),https://www.youtube.com/watch?v=6-1DRGlFoCY,6-1DRGlFoCY,,7.0,2023-11-02
572,Disc Cover (NL),https://www.youtube.com/watch?v=KnXFJRa78Ek,KnXFJRa78Ek,,7.0,2023-11-01
573,The Captain is Dead: Dangerous Planet (NL),https://www.youtube.com/watch?v=xnWX2F0J8TA,xnWX2F0J8TA,,7.0,2023-03-28
574,Furnace (NL),https://www.youtube.com/watch?v=7o5SFKv82a0,7o5SFKv82a0,,7.0,2023-03-20
575,Riverside (NL),https://www.youtube.com/watch?v=3zsMbX5GYrk,3zsMbX5GYrk,,7.0,2023-03-15
576,Match (NL),https://www.youtube.com/watch?v=O-PPlYwxidM,O-PPlYwxidM,,7.0,2023-02-28
577,Cactus Town: Expansions (NL),https://www.youtube.com/watch?v=V_upccu15f4,V_upccu15f4,,7.0,2023-02-22
578,Race Pace (NL),https://www.youtube.com/watch?v=iWJN11Ih7cY,iWJN11Ih7cY,,7.0,2023-01-28
579,Dinner in Paris (NL),https://www.youtube.com/watch?v=nqo3R-Gxwbc,nqo3R-Gxwbc,,7.0,2023-01-22
580,Oceans (NL),https://www.youtube.com/watch?v=6p6IaYGlj2w,6p6IaYGlj2w,,7.0,2023-01-03
581,Endless Winter Paleoamericans (NL),https://www.youtube.com/watch?v=hPUrUtg5vk4,hPUrUtg5vk4,,7.0,2023-01-02
582,Colour Collect (NL),https://www.youtube.com/watch?v=YcEvKUsuTL0,YcEvKUsuTL0,,7.0,2023-01-02
583,Too Many Bones (NL),https://www.youtube.com/watch?v=PBsYybsTs4s,PBsYybsTs4s,,7.0,2022-12-18
584,Hey Yo (NL),https://www.youtube.com/watch?v=TMVp7TKO_70,TMVp7TKO_70,,7.0,2022-12-14
585,Lost Cities: Roll & Write (NL),https://www.youtube.com/watch?v=4SlDndBu7C8,4SlDndBu7C8,,7.0,2022-12-11
586,ImmunoWars (NL),https://www.youtube.com/watch?v=tbJiPAYDeIo,tbJiPAYDeIo,,7.0,2022-12-06
587,Sunbed Rush (NL),https://www.youtube.com/watch?v=k_FtnFxIvpw,k_FtnFxIvpw,,7.0,2022-12-06
588,Eastern Empires (NL),https://www.youtube.com/watch?v=EYyxK8uiE84,EYyxK8uiE84,,7.0,2022-12-04
589,Stellar Expedition (NL),https://www.youtube.com/watch?v=jAO0Cmif5YU,jAO0Cmif5YU,,7.0,2022-12-04
590,Beetle to the Bubble (NL),https://www.youtube.com/watch?v=p3Nhu0Y_ec0,p3Nhu0Y_ec0,,7.0,2022-11-30
591,Elixir Mixer (NL),https://www.youtube.com/watch?v=FPPsWVszeE8,FPPsWVszeE8,,7.0,2022-11-30
592,Debtzilla (NL),https://www.youtube.com/watch?v=NmIZIwdIviA,NmIZIwdIviA,,7.0,2022-11-29
593,World Stitchers (NL),https://www.youtube.com/watch?v=Xy5AGv_hbx4,Xy5AGv_hbx4,,7.0,2022-11-28
594,Douc in Danger (NL),https://www.youtube.com/watch?v=SJJbaZSRysw,SJJbaZSRysw,,7.0,2022-11-28
595,Sheriff of Nottingham: Merry Men (NL),https://www.youtube.com/watch?v=u5GU74seuJ0,u5GU74seuJ0,,7.0,2022-11-28
596,Challengers! (NL),https://www.youtube.com/watch?v=ycUyUwa5Jdg,ycUyUwa5Jdg,,7.0,2022-11-16
597,De Zoektocht naar El Dorado: Gevaren & Muisca (NL),https://www.youtube.com/watch?v=uLAqxcqk2GM,uLAqxcqk2GM,,7.0,2022-11-16
598,Duelosaur Island (NL),https://www.youtube.com/watch?v=5NCi72bGWqs,5NCi72bGWqs,,7.0,2022-11-07
599,Geruite Rij-tjes (NL),https://www.youtube.com/watch?v=or6Q7EvToJ8,or6Q7EvToJ8,,7.0,2022-11-07
600,Savannah Park (NL),https://www.youtube.com/watch?v=EU8q4bp9LDI,EU8q4bp9LDI,,7.0,2022-10-31
601,Solenia (NL),https://www.youtube.com/watch?v=w-wPH4QWwqs,w-wPH4QWwqs,,7.0,2022-10-31
602,Zoo Tycoon (NL),https://www.youtube.com/watch?v=rEDtKhdBCwE,rEDtKhdBCwE,,7.0,2022-10-30
603,Town 66 (NL),https://www.youtube.com/watch?v=g-UsDl1StYI,g-UsDl1StYI,,7.0,2022-10-20
604,Check Out! (NL),https://www.youtube.com/watch?v=9hubhMB2hyw,9hubhMB2hyw,,7.0,2022-10-19
605,Vengeance: Roll & Fight - Episode 2 (NL),https://www.youtube.com/watch?v=2XPzBMSgUDI,2XPzBMSgUDI,,7.0,2022-10-16
606,Donkey Valley (NL),https://www.youtube.com/watch?v=MUx-VSsGU8w,MUx-VSsGU8w,,7.0,2022-10-08
607,Alhambra: Roll & Write (NL),https://www.youtube.com/watch?v=gYYcLtNSgfs,gYYcLtNSgfs,,7.0,2022-10-08
608,Valroc (NL),https://www.youtube.com/watch?v=9agOvWhZ0NI,9agOvWhZ0NI,,7.0,2022-09-13
609,Aqualin (NL),https://www.youtube.com/watch?v=f3gbpfSv0Kk,f3gbpfSv0Kk,,7.0,2022-09-02
610,Flourish (NL),https://www.youtube.com/watch?v=DUagjvBvv44,DUagjvBvv44,,7.0,2022-07-26
611,Nocturnally (NL),https://www.youtube.com/watch?v=v8o5oe3cmjw,v8o5oe3cmjw,,7.0,2022-07-17
612,Metro (NL),https://www.youtube.com/watch?v=kVkZpXIOEZ4,kVkZpXIOEZ4,,7.0,2022-07-13
613,Saboteur: De Donkere Grot (NL),https://www.youtube.com/watch?v=n3-IwojW29s,n3-IwojW29s,,7.0,2022-07-12
614,Castellion (NL),https://www.youtube.com/watch?v=ZPW75jCPPDo,ZPW75jCPPDo,,7.0,2022-06-30
615,Ravensburger Escape Puzzles (NL),https://www.youtube.com/watch?v=JOAG2YQIyqg,JOAG2YQIyqg,,7.0,2022-06-25
616,Cóatl (NL),https://www.youtube.com/watch?v=9frq2tLUJts,9frq2tLUJts,,7.0,2022-06-25
617,Scrap Racer (NL),https://www.youtube.com/watch?v=gRaVYT3pU0g,gRaVYT3pU0g,,7.0,2022-06-20
618,Hijacked (NL),https://www.youtube.com/watch?v=VdufqcogZsY,VdufqcogZsY,,7.0,2022-06-13
619,Click! The Great Wall (NL),https://www.youtube.com/watch?v=0EZkNfYgKMc,0EZkNfYgKMc,,7.0,2022-06-07
620,Citytrip Brugge (NL),https://www.youtube.com/watch?v=uMyR6zwoHrs,uMyR6zwoHrs,,7.0,2022-05-30
621,Ice Floes & Foes (NL),https://www.youtube.com/watch?v=cxyLi4CCmgo,cxyLi4CCmgo,,7.0,2022-05-29
622,Karak (NL) - Spellenzolder Welpjes,https://www.youtube.com/watch?v=yplCGWygmoo,yplCGWygmoo,,7.0,2022-05-29
623,Lemur Tails (NL),https://www.youtube.com/watch?v=O0NR9vltI8c,O0NR9vltI8c,,7.0,2022-05-29
624,Speedy Ants (NL),https://www.youtube.com/watch?v=pqwyKDHfiMI,pqwyKDHfiMI,,7.0,2022-05-15
625,Dodo (NL) - Spellenzolder Welpjes,https://www.youtube.com/watch?v=PCZOMbNsTzY,PCZOMbNsTzY,,7.0,2022-05-10
626,Yggdrasil Chronicles (NL),https://www.youtube.com/watch?v=EYoLlC8HITc,EYoLlC8HITc,,7.0,2022-05-03
627,Ark Nova (NL),https://www.youtube.com/watch?v=sAHlmKZjjLk,sAHlmKZjjLk,,7.0,2022-04-27
628,Cartographers: Map Packs,https://www.youtube.com/watch?v=sWPU_JYUyaY,sWPU_JYUyaY,,7.0,2022-04-20
629,Gizmos (NL),https://www.youtube.com/watch?v=a7k23tfF0zI,a7k23tfF0zI,,7.0,2022-04-15
630,Explorers (NL),https://www.youtube.com/watch?v=ADmPJepJ-Bk,ADmPJepJ-Bk,,7.0,2022-04-14
631,Machina Arcana (NL),https://www.youtube.com/watch?v=Q-xlnVWOGys,Q-xlnVWOGys,,7.0,2022-04-09
632,Clans (NL),https://www.youtube.com/watch?v=HRPJn-VQKzk,HRPJn-VQKzk,,7.0,2022-04-06
