title;link;id;stars;score;date
Shrimp (NL);https://www.youtube.com/watch?v=fjkHnlOkM2k;fjkHnlOkM2k;;;25-09-2012
Union Pacific (NL);https://www.youtube.com/watch?v=1drrgqngaYw;1drrgqngaYw;;;20-09-2012
Odynaut Games Special (NL);https://www.youtube.com/watch?v=OpRiIOsFm5A;OpRiIOsFm5A;;;20-09-2012
Candamir - The First Settler of Catan (NL);https://www.youtube.com/watch?v=I6-npSRR87w;I6-npSRR87w;;;19-09-2012
Time's Up (NL);https://www.youtube.com/watch?v=bhpjLqAZ4VI;bhpjLqAZ4VI;;;18-09-2012
Timeline (NL);https://www.youtube.com/watch?v=9uaomEOxcoI;9uaomEOxcoI;;;18-09-2012
The Island (NL);https://www.youtube.com/watch?v=Inp3mjzJVo4;Inp3mjzJVo4;;;18-09-2012
Bushi (NL);https://www.youtube.com/watch?v=ZOe2RbNG6FU;ZOe2RbNG6FU;;;16-09-2012
Blue Moon City (NL);https://www.youtube.com/watch?v=qDvQuTr5P40;qDvQuTr5P40;;;16-09-2012
Formula D (NL);https://www.youtube.com/watch?v=N8iJD3JA99U;N8iJD3JA99U;;;11-09-2012
Neuroshima Hex! - Het Duel (NL);https://www.youtube.com/watch?v=nGBOswwlCS8;nGBOswwlCS8;;;11-09-2012
Kleurenkapers! (NL);https://www.youtube.com/watch?v=qLeEs9MijhY;qLeEs9MijhY;;;11-09-2012
Oh no.. Invasion!!! (NL);https://www.youtube.com/watch?v=S_6oZL2yZfc;S_6oZL2yZfc;;;04-09-2012
Factory Fun (NL);https://www.youtube.com/watch?v=mDLoWLHCZaY;mDLoWLHCZaY;;;04-09-2012
Thurn and Taxis (NL);https://www.youtube.com/watch?v=Zz4fopZhR7I;Zz4fopZhR7I;;;04-09-2012
Da Vinci Code - Het Bordspel (NL);https://www.youtube.com/watch?v=DSv3LPOWJ2M;DSv3LPOWJ2M;;;04-09-2012
Armada (NL);https://www.youtube.com/watch?v=iGXUbkIBWZA;iGXUbkIBWZA;;;04-09-2012
Dead Man's Treasure (NL);https://www.youtube.com/watch?v=5gCvuxN0724;5gCvuxN0724;;;02-09-2012
Khan (NL);https://www.youtube.com/watch?v=eNRgVDFaCxM;eNRgVDFaCxM;;;02-09-2012
Ascension - Chronicle of the Godslayer (NL);https://www.youtube.com/watch?v=t3VuHW5L6KQ;t3VuHW5L6KQ;;;27-08-2012
Kolonisten van Catan - Het Kaartspel (NL);https://www.youtube.com/watch?v=W5u_Nz1GG-g;W5u_Nz1GG-g;;;27-08-2012
Alien Frontiers (NL);https://www.youtube.com/watch?v=DCqdB3vQyIM;DCqdB3vQyIM;;;22-08-2012
Alcatraz - The Scapegoat (NL);https://www.youtube.com/watch?v=1FWT1bEDdV0;1FWT1bEDdV0;;;19-08-2012
Endeavor (NL);https://www.youtube.com/watch?v=oimf-2Q7U7g;oimf-2Q7U7g;;;17-08-2012
Portobello Market (NL);https://www.youtube.com/watch?v=V1TF8dvK_j0;V1TF8dvK_j0;;;17-08-2012
Lancaster (NL);https://www.youtube.com/watch?v=47JZMIZYrB8;47JZMIZYrB8;;;16-08-2012
Brass (NL) - Deel 2 / 2;https://www.youtube.com/watch?v=R_B-VAyXrzE;R_B-VAyXrzE;;;16-08-2012
Nuns on the Run (NL);https://www.youtube.com/watch?v=LAWXByK7HDQ;LAWXByK7HDQ;;;16-08-2012
Brass (NL) - Deel 1 / 2;https://www.youtube.com/watch?v=cn53ue5NZWU;cn53ue5NZWU;;;16-08-2012
Ra (NL);https://www.youtube.com/watch?v=pOGszrfSqn0;pOGszrfSqn0;;;16-08-2012
Shadow Hunters (NL);https://www.youtube.com/watch?v=W4fXTnHthcg;W4fXTnHthcg;;;16-08-2012
Tongiaki (NL);https://www.youtube.com/watch?v=YnIciZuO8i0;YnIciZuO8i0;;;15-08-2012
Star Trek - Expeditions (NL);https://www.youtube.com/watch?v=WxfWNHG6Ys8;WxfWNHG6Ys8;;;10-08-2012
Asmodee Special;https://www.youtube.com/watch?v=F1aXAlIqNAQ;F1aXAlIqNAQ;;;08-08-2012
Lords of Waterdeep (NL);https://www.youtube.com/watch?v=lcmHU0koCSg;lcmHU0koCSg;;;03-08-2012
Introduction of the New Logo;https://www.youtube.com/watch?v=jSavxrfNz6Q;jSavxrfNz6Q;;;02-08-2012
Castle Panic (NL);https://www.youtube.com/watch?v=nK1nfpOb8X0;nK1nfpOb8X0;;;30-07-2012
Tyros (NL);https://www.youtube.com/watch?v=8dUEVw_jKSE;8dUEVw_jKSE;;;29-07-2012
Chaos in the Old World (NL);https://www.youtube.com/watch?v=wEZ8O9yz2Zc;wEZ8O9yz2Zc;;;29-07-2012
Minoes - Kat in de Zak (NL);https://www.youtube.com/watch?v=gBtpKSkZSBg;gBtpKSkZSBg;;;29-07-2012
Escape from Colditz (NL);https://www.youtube.com/watch?v=-OLAmZxjUYU;-OLAmZxjUYU;;;29-07-2012
